id,title,reason
118796959,Инженер-лаборант,No skills listed
119545150,Лаборант,No skills listed
120055160,Биолог в детскую больницу,No skills listed
120101756,Руководитель/лаборант инженерно-геологической лаборатории,No skills listed
120274757,Фельдшер-лаборант,No skills listed
120282847,Лаборант химического анализа,No skills listed
119402082,Лаборант,No skills listed
116230094,"Лаборант (на отделении ""Сестринское дело"")",No skills listed
118960056,Лаборант отделения ЭКО (м. китай-город),No skills listed
119433218,Лаборант,No skills listed
120048471,Эколог/лаборант,No skills listed
105528123,Лаборант,No skills listed
119553813,Техник-лаборант в ОТК,No skills listed
119968886,"Лаборант (отдел экспертизы потерпевших, обвиняемых)",No skills listed
116886069,Лабораторный техник /фельдшер-лаборант,No skills listed
119670935,Лаборант химического анализа (4 разряд),No skills listed
119758098,Сборщик-лаборант,No skills listed
119229452,Техник-лаборант,No skills listed
119426201,Химик-лаборант,No skills listed
115372032,Лаборант,No skills listed
119927590,Сотрудник/начинающий специалист на производство/окрасчик елочных игрушек/лаборант,No skills listed
120121682,Инженер-лаборант,No skills listed
120285928,Медицинский лабораторный техник (Лаборант),No skills listed
114690735,Лаборант,No skills listed
119023590,Лаборант-контролер,No skills listed
119790354,Лаборант химического анализа,No skills listed
119858091,Колеровщик красок (на колеровочной машине),No skills listed
116907882,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
120074682,Фельдшер-лаборант,No skills listed
119483752,Фельдшер-лаборант/медицинский лабораторный техник,No skills listed
91881912,Медицинский лабораторный техник,No skills listed
120024338,Лаборант косметического производства (г. Видное),No skills listed
118982138,Лаборант-исследователь,No skills listed
119490058,Медицинская сестра/Медицинский брат/Рентген-лаборант,No skills listed
119467038,Рентген-лаборант,No skills listed
118620764,Рентген-лаборант,No skills listed
119702971,Химик-лаборант,No skills listed
119919074,Лаборант производства строительных материалов,No skills listed
119706306,Инженер-лаборант,No skills listed
119872919,Лаборант химического анализа,No skills listed
120269313,Медицинский лабораторный техник / фельдшер-лаборант,No skills listed
119224434,Микробиолог - лаборант в контрольно-аналитическую лабораторию отдела контроля качества,No skills listed
119419434,Микробиолог / Лаборант-микробиолог / Биотехнолог,No skills listed
106763833,Лаборант всэ (с.Скворцово),No skills listed
116222445,Техник-лаборант по химическому анализу,No skills listed
118695085,Химик-лаборант,No skills listed
119477833,Лаборант химического анализа,No skills listed
120294126,Лаборант,No skills listed
